# checkprose 규칙표. 한 줄에 하나, 탭으로 나눈다.
#
#   이름 <TAB> 정규식 <TAB> 무엇으로 바꾸는가
#
# **표를 코드가 아니라 여기에 둔 이유가 둘이다.**
# 하나, tools/checktext 가 Go 문자열 리터럴의 한글을 막는다. 규칙을 코드에 적으면
# 그 관문이 이 도구를 막는다.
# 둘, 이 표는 늘어난다. 지적받은 말을 그때그때 더하는 자리가 코드 밖에 있어야 한다.
#
# 정규식은 Go RE2 이고 줄 단위가 아니라 파일 전체에 건다. 뒤보기(lookbehind)가 없으므로
# 「헷갈리다」처럼 겹치는 말은 도구가 먼저 덮고 나서 잰다.
#
# **여기에 적은 말이 전부 틀린 것은 아니다.** 「갈리다」는 하나가 둘로 나뉠 때 맞는 말이고,
# 그런 자리는 기준선에 남아 있으면 된다. 이 표가 막는 것은 **새로 들어오는 것**이다.

엠대시	—	콜론이나 접속사로 푼다
조용히	조용히	오류 없이 · 아무 표시 없이
갈리다	갈립니|갈리면|갈리는|갈려|갈라 주|가릅니다	서로 다르다 · 나뉘다 · 구분하다 (갈리다는 하나가 둘로 나뉠 때만)
말하다	말합니다|말한다|말하고|말해 줍|말해줍	알려 준다 · 적힌다 · 출력한다 (사물은 말하지 않는다)
재료	재료	입력 파일
열쇠	열쇠	식별자
박히다	박혀|박습니다|박는 |박아 |못박	명시한다
품다	(^|[\s(\[「*>])품(는|을|지|고|습니다)	바꿔 받는다 · 받아들인다
끊다	끊습니다|끊고 |끊는다	중단한다
이기다	이깁니다|이긴다|이기면	우선한다
누르다	상한을 누	상한을 낮춘다
비싸다	비쌉니다|무게가 다	비용이 크다 · 성격이 다르다
구어 축약	그건 |이건 |저건 |거면 |근데 |건데 	그것은 · 이것은 · ~하려면
머신	머신	기계 (둘을 섞지 않는다)
인간의 결론	인간의 결론	사람의 결론
블라스트반경	블라스트반경	영향 범위
게이트	게이트	관문 (c8c43e8 에서 리포 전체를 이 말로 바꿨다)
갖다	(을|를|이|가) *(갖습니다|갖는다|갖고 있|가지고 있|가집니다)	~에 ~이 있다 (have 를 그대로 옮긴 꼴)

# ── 조사했으나 넣지 않은 것 ────────────────────────────────────────────────
# 넣을 뻔한 규칙을 적어 둔다. 근거 없이 다시 제안되는 것을 막는다.
#
# **「에 있어」(전치사 직역)**: 두 리포에 열두 곳 있는데 **전부 오탐이다.** 「러너에 있어
# 우리가 바꿀 수 없다」처럼 「~에 있다」에 연결어미가 붙은 것이지, 「in terms of」를 옮긴
# 번역투가 아니다. 넣으면 열두 곳이 전부 거짓으로 걸린다.
#
# **「-는가 · -나」(안긴 의문절)**: 안긴 절에서는 「-는지」가 맞지만, 이 리포는 표 머리글과
# 항목 이름에 「무엇을 보나」·「어떻게 다뤘는가」처럼 **독립된 물음**으로 쓴다. 그것은 맞는
# 용법이라 기계가 둘을 가르지 못한다. 안긴 자리는 눈으로 본다.
